"Hulii","",
"Cms Page Sync","CMS頁同步",
"Password must have at least 8 letters.","密碼必須至少有8個字母。",
"Confirm your order","確認您的訂單",
"Please confirm order you placed when you was offline","請確認您離線時的訂單。",
"Keep me notified about this order","讓我了解此訂單的最新信息",
"Extension developers would like to thank you for placing an order!","擴展開發人員想感謝你下訂單！",
"Compare products","比較產品",
"Load more","加載更多",
"Select No","選擇否",
"Select Yes","選擇是",
"erin recommends filter","艾琳建議過濾器",
"Latest","最新",
"size","尺寸",
"color","顏色",
"login","登錄",
"No reviews have been posted yet. Please don't hesitate to get in touch to share your review!","沒有評論目前尚無評論。請不要猶豫取得聯繫，分享您的評論！",
"If you need an assistance you can drop us a line on","如果你需要幫助，你可以放下我們一行",
"Internal Server Error 500","內部服務器錯誤500",
"We've noticed Internal Server Error while rendering this request.","我們注意到內部服務器錯誤，同時渲染了這一請求。",
"Something went wrong ...","有些不對勁 ...",
"This product is out of stock.","此產品缺貨。",
"Cash on delivery","貨到付款",
"DPD Courier","DPD快遞",
"My Recently viewed products","我最近瀏覽過的產品",
"No products yet","還沒有產品",
"The server order id has been set to","服務器訂單ID已被設置為",
"Apply","應用",
"Specifications","產品規格",
"Recommended By Others","其他人推薦",
"Continue Shopping","繼續購物",
"Product has been added to cart","產品已被添加到購物車",
"Add to Wishlist","加入收藏",
"Recommended For You","為你推薦",
"Terms","條款",
"Shop","購買",
"Secure Checkout","安全結帳",
"Some rules and restrictions may apply","某些規則和限制可能適用",
"See Details","查看詳細信息",
"Secure Shopping","安全購物",
"Our checkout meets the credit card industry’s rigorous PCI security standards","我們結賬符合信用卡行業PCI的嚴格安全標準",
"Privacy Protection","隱私保護",
"Your privacy is always our number-one priority","您的隱私永遠是最重要的",
""",""","卓越的客戶服務",
"We’ve got your back. Chat to us live 7 days a week","為了支持您，每週7天都可實時與我們聊天.",
"Order Total","合計訂單",
"Shipping Fee","運輸費用",
"Hulii's terms","Hulii的條款",
"By placing this order you agree to","通過下訂單，您同意...",
"iPhone 6S","iPhone 6S",
"items","項目",
"item","項目",
"Log In","登錄",
"Cart Total","購物車總數",
"You're In Good Hands","你盡可以放心.",
"Featured on Hulii","Hulii的精選",
"Youtube","Youtube",
"Pinterest","Pinterest",
"Twitter","Twitter",
"Facebook","Facebook",
"Instagram","Instagram",
"Follow Us","關注我們",
"Track Your Order","追踪您的訂單",
"Payments","支付",
"FAQs & Contact","常見問題及聯繫方式",
"Company","公司",
"Product Ideas","新產品",
"The Circular Economy","循環經濟",
"Renewal Partners Portal","再生電器合作夥伴門戶網站",
"Become a Renewal Partner","成為合作夥伴",
"Our Mission","我們的使命",
"Legal","法律",
"Careers","招聘",
"Press","按",
"Blog","博客",
"Who We Are","關於我們",
"Track Your Order","追踪您的訂單",
"Payments","支付",
"Help & Support","客戶服務及支援",
"Stay In Touch","保持聯繫",
"Need Help? Let's Chat","需要幫忙？和我們聊聊",
"Relevance","關聯",
"Clear All","全部清除",
"Your Selections","您的選擇"
"Continue shopping on","在HULII上繼續購物",
"Fill your shopping cart to give it purpose.","加入購物車",
"Your cart is empty!","您的購物車是空的！",
"Sign In/Register","登錄/註冊",
"If you need an assistance you can write to us through","如果您需要幫助，您可以通過...給我們寫信",
"Your Recently Viewed Items","你最近瀏覽的商品",
"Create An Account","創建一個帳戶",
"Daily Deals","每日優惠"
"Top Apple Deals","最新蘋果優惠",
"See More","看更多",
"My Profile","我的個人資料"
"My Orders","我的訂單",
"Recently Viewed","最近瀏覽過的產品",
"Help & Contact","幫助和聯繫",
"Who Are We","關於我們",
"Privacy Policy","隱私政策",
"Terms of Use","使用條款",
"Popular Searches","熱門搜索",
"Shop All","所有產品",
"Shop Mobile Phones","購買手機",
"Shop Apple","購買蘋果",
"Shop Refurbished Phones","購買二手手機",
"iPhone 6","iPhone 6",
"iPhone 7","iPhone 7",
"iPhone 8","iPhone 8",
"Unlocked iPhone","解鎖版iPhone",
"Used iPhone","二手iPhone",
"Buy iPhone","購買iPhone",
"New iPhone","全新iPhone",
"How to Backup iPhone","如何備份iPhone",
"How to Reset iPhone","如何重置iPhone",
"How to Restore iPhone","如何還原iPhone",
"How to Unlock iPhone","如何解鎖iPhone",
"Where Should We Ship To","我們應該寄到哪裡",
"Australia","澳洲",
"Malaysia","馬來西亞",
"Hong Kong","香港",
"Singapore","新加坡",
"US","美國",
"See details.","查看詳細信息。",
"My Wishlist","我的收藏",
"Description","描述",
"Specifications","產品規格",
"What's in the Box","盒子裡裝了什麼",
"Guaranteed Quality","質量保證",
"About","關於",
"Hulii's Product Conditions","Hulii的產品狀況",
"All","所有",
"Select Condition","選擇狀況",
"Hulii's Product Conditions","Hulii的產品狀況",
"About PGC Tech","關於PGC技術",
"New","新",
"color group filter","顏色組篩選",
"The Hulii Advantage","Hulii的優勢",
"Top FAQs","熱門常見問題解答",
"Shipping & Delivery","送貨方式",
"It's ordered","訂單已下。",
"It looks like you haven't viewed anything yet. Feel free to","看來你還未瀏覽過任何產品。請隨意",
"continue shopping","繼續購物",
"to find something that suits!","要找到適合您的！",
"Your Wishlist is empty. Feel free to","你的收藏夾是空的。請隨意",
"or visit your","或訪問",
"Wishlist","收藏夾",
"Other Available Conditions","其他狀況"
"Condition Rating","狀況評級",
"Condition","狀況",
"More information","更多信息",
"Your Selected Condition","您選擇的狀況",
"Body Scratches & Condition","機身划痕和狀況",
"Screen Scratches","屏刮傷",
"Enter Your Condition Preferences","輸入您想要的狀況",
"Limited Time Offer","限時優惠",
"From","從",
"Top FAQs","熱門常見問題解答",
"Enter the email address associated with your Hulii account.","輸入您Hulii帳戶相關聯的電子郵件地址。",
"special price filter","特價篩選",
"Resetting your password","重置您的密碼",
"Sign Out","登出",
"It seems you're offline. Hulii may look different as you stay off-grid.","看來你處於離線狀態。Hulii可能因為你離開網格而看起來不同。",
"Click to see details.","點擊查看詳細信息。",
"View Cart","查看購物車",
"Creating your account","創建帳戶",
"Submitting your review","提交您的評論"
"FAQs","常見問題",
"Contact Us","聯繫我們",
"Choose your country or region","請選擇你所在的國家或地區.",
"Select your preferred language","請選擇你的語言",
"Free Shipping","免費送貨",
"6 Months Warranty","6個月產品保用",
"Tel","電話",
"Products","產品",
"Warranty","保養",
"Product Quality","產品質量",
"Product Conditions","產品狀況",
"Making an Order","如何訂購",
"About Hulii","關於Hulii",
"Sign In","登入",
"Sign in,"登入",
"Shop Hulii","於HULII網站內購買",
"Shop All","所有產品",
"Shop Apple","APPLE產品",
"Shop Samsung","SAMSUNG產品"
"Explore the latest from Hulii","探索Hulii內所有產品",
"Explore the latest devices from Apple","探索APPLE最新流動裝置",
"Explore the latest devices from Samsung","探索SAMSUNG最新流動裝置",
"Mobile Phones","手機",
"Name","名稱",
"Renewed by","更新于",
"Shipping & Returns","送貨咊退貨",
"What We Believe","我哋相信",
"Added to Cart","添加到購物車",
"Continue to Cart","繼續購物車",
"You've earned FREE shipping!","妳經已獲得免運費！",
"Exceptional Customer Service","卓越嘅客戶服務",
"Already have an account","經已有一個帳戶",
"Your email address is our primary method to contact you","您嘅電子郵件地阯繫我哋與您聯繫嘅主要方式",
"Your name will also appear on your delivery label","您嘅姓名也會齣宜傢您嘅送貨標簽上,
"Enter your mobile number to receive SMS delivery updates (where available)","輸入您嘅手機號碼以接收短信發送更新（如菓有）",
"Continue","繼續",
"Address *","地阯",
"Shipping Details","送貨細節",
"Shipping Options","送貨選項",
"Shipping & Handling","運輸咊処理",
"Please enter your credit card details below","请喺下面输入您嘅信用卡",
"By placing this order, you agree to the Hulii.com ","下訂單即錶示您衕意Hulii.com",
"Terms of Use ","使用條欵 ",
"and to receiving marketing communications from Hulii.com","以及從Hulii.com接收營銷傳播",
"Free Delivery","免郵費",
"Free delivery on all orders through Hulii.","透過Hulii免費送貨",
"14 Days Change of Mind*","14天售後冷靜期*",
"If you change your mind within 14 days you can return your unopened products free of charge.","如希望獲得退貨，可於購買後14天內，退回未開封商品."
"Hulii Cares","Hulii保障計劃",
"Any issues? Our comprehensive 6 month warranty is here to help.","有問題？我們提供6個月保用期，全面協助你進行保修程序."
"Power isn't just for the pros.","功能彊大嘅手機啱所有人",
"Discover something new with every touch.","每次接觸都能發現新嘅腳色。",
"Compatible with","兼容",
"Share","分享",
"Favourite","喜愛",
"Available Conditions","其他狀況",
"Select a Condition","其他狀況",
"Add to Cart","添加到購物車",
"Contact Details","聯繫方式",
"Proceed to Checkout","去揾數",
"Save for Later","畱著打后用",
"Shipping type","運輸類型",
"Edit Details","編輯細節",
"Arrives by","到達",
"New Zealand","New Zealand",
"United Kingdom","United Kingdom",
"Recommended Accessories","Recommended Accessories",
"Read More","Read More",
"Blog","Blog",
"Let's Chat","線上支援",
"New Zealand","新西蘭",
"Blog","博客"
"Start Selling","Start Selling"
